Geo Point;Geo Shape;ID;Code TAF/TAP;Nom symbolique;Abréviation LST FR courte;Abréviation LST NL courte;Abréviation LST FR complète;Abréviation LST NL complète;Nom FR court;Nom NL court;Nom FR moyen;Nom NL moyen;Nom FR complet;Nom NL complet;Classification en néerlandais;Classification en anglais;Classification en anglais
51.2955730024,4.38512899595;"{""type"": ""Point"", ""coordinates"": [4.385128995949022, 51.29557300238912]}";1909;BE01909;RDE9;ANT-ND-RDE.9;ANT-ND-RDE.9;ANTWERPEN-ND-BL.9-ROOSTER D/E;ANTWERPEN-ND-BL.9-ROOSTER D/E;Ant-Nd-RDE.9;Ant-Nd-RDE.9;Antw-Nd-R.D/E.9;Antw-Nd-R.D/E.9;Antwerpen-Nd-Bl.9-Rooster D/E;Antwerpen-Nd-Bl.9-Rooster D/E;Rooster;Gril;Gril
50.6791348918,4.56548822349;"{""type"": ""Point"", ""coordinates"": [4.565488223492955, 50.679134891754714]}";937;BE00937;LTR;OTTIGNIES-R;OTTIGNIES-R;OTTIGNIES-RELAIS;OTTIGNIES-RELAIS;Ottignies-R;Ottignies-R;Ottignies-Relais;Ottignies-Relais;Ottignies-Relais;Ottignies-Relais;Station;Gare;Gare
51.2875554752,4.28567680227;"{""type"": ""Point"", ""coordinates"": [4.285676802273709, 51.28755547516274]}";1833;BE01833;VLLH;V.LLH;V.LLH;VERB.LIEFKENSHOEK LOGISTIC HUB;VERB.LIEFKENSHOEK LOGISTIC HUB;V.LLH;V.LLH;Verb.Liefkenshoek LH;Verb.Liefkenshoek LH;Verb.Liefkenshoek Logistic Hub;Verb.Liefkenshoek Logistic Hub;Verbinding;Raccordement;Raccordement
50.6052155166,5.5496826513;"{""type"": ""Point"", ""coordinates"": [5.549682651302598, 50.60521551663242]}";1375;BE01375;RPETF;R.PTE-FOLIE;R.PTE-FOLIE;RACC.PETITE-FOLIE;RACC.PETITE-FOLIE;R.Pte-Folie;R.Pte-Folie;Racc.Petite-Folie;Racc.Petite-Folie;Racc.Petite-Folie;Racc.Petite-Folie;Verbinding;Raccordement;Raccordement
50.4532530645,4.67004295149;"{""type"": ""Point"", ""coordinates"": [4.67004295149127, 50.453253064546]}";1410;BE01410;RSOL1;R.SOLVAY 1;R.SOLVAY 1;RACC.MOUSTIER-SOLVAY 1;RACC.MOUSTIER-SOLVAY 1;R.Solvay 1;R.Solvay 1;Racc.Solvay 1;Racc.Solvay 1;Racc.Moustier-Solvay 1;Racc.Moustier-Solvay 1;Verbinding;Raccordement;Raccordement
51.2988070402,4.37084601959;"{""type"": ""Point"", ""coordinates"": [4.370846019585684, 51.29880704020701]}";511;BE00511;FNDMH;ANTW-ND-P.MH;ANTW-ND-P.MH;ANTWERPEN-NOORD-PERRON MAINHUB;ANTWERPEN-NOORD-PERRON MAINHUB;Antw-Nd-P.MH;Antw-Nd-P.MH;Antw-Nd-Per. MainHub;Antw-Nd-Per. MainHub;Antwerpen-Noord-Perron MainHub;Antwerpen-Noord-Perron MainHub;Diensthalte;Point d'arrêt de service;Point d'arrêt de service
50.4541777385,4.66748184284;"{""type"": ""Point"", ""coordinates"": [4.667481842839631, 50.454177738491325]}";1412;BE01412;RSOL2;R.SOLVAY 2;R.SOLVAY 2;RACC.MOUSTIER-SOLVAY 2;RACC.MOUSTIER-SOLVAY 2;R.Solvay 2;R.Solvay 2;Racc.Solvay 2;Racc.Solvay 2;Racc.Moustier-Solvay 2;Racc.Moustier-Solvay 2;Verbinding;Raccordement;Raccordement
50.8014524393,4.30374833057;"{""type"": ""Point"", ""coordinates"": [4.303748330573518, 50.801452439268914]}";2010;BE02010;2010;BR-FL L96L/8;BR-VL L96L/8;FRONT. BRUXELLES-FLANDRE 96L/8;GRENS BRUSSEL-VLAANDEREN 96L/8;Br-Fl L96L/8;Br-Vl L96L/8;Front. Br-Fl L96L/8;Grens Br-Vl L96L/8;Front. Bruxelles-Flandre 96L/8;Grens Brussel-Vlaanderen 96L/8;6;6;6
51.1523676018,4.34295244183;"{""type"": ""Point"", ""coordinates"": [4.342952441826371, 51.15236760181131]}";1996;BE01996;VVRBK;V.VERBEKE;V.VERBEKE;VERB.HEMIKSEM-VERBEKE;VERB.HEMIKSEM-VERBEKE;V.Verbeke;V.Verbeke;Verb.Verbeke;Verb.Verbeke;Verb.Hemiksem-Verbeke;Verb.Hemiksem-Verbeke;Verbinding;Raccordement;Raccordement
49.5671700009,5.83117999483;"{""type"": ""Point"", ""coordinates"": [5.831179994832345, 49.56717000093984]}";1405;BE01405;MHA;ATHUS-A;ATHUS-A;ATHUS-FAISCEAU A;ATHUS-FAISCEAU A;Athus-A;Athus-A;Athus-Faisceau A;Athus-Faisceau A;Athus-Faisceau A;Athus-Faisceau A;Station;Gare;Gare
